Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
5.636,1.016,1.533,0.517,0.417,0.199,0.037
5.620,1.171,1.401,0.732,0.259,0.061,0.022
5.566,0.985,1.350,0.553,0.496,0.116,0.148
5.524,0.775,1.312,0.513,0.643,0.120,0.105
5.504,0.620,1.205,0.622,0.459,0.197,0.074
5.483,1.039,1.498,0.700,0.307,0.101,0.154
5.483,1.148,1.380,0.686,0.324,0.106,0.109
5.472,0.652,0.810,0.424,0.334,0.216,0.113
5.430,1.405,1.290,1.030,0.524,0.246,0.291
5.410,1.188,1.429,0.884,0.562,0.055,0.017
5.398,0.975,1.369,0.685,0.288,0.134,0.043
5.358,1.154,1.202,0.879,0.131,0.000,0.044
5.358,0.965,1.179,0.785,0.503,0.214,0.136
5.347,1.017,1.279,0.729,0.259,0.111,0.081
5.321,1.115,1.161,0.737,0.380,0.120,0.039
5.302,0.982,1.441,0.614,0.578,0.120,0.106
5.295,0.979,1.154,0.687,0.077,0.055,0.135
5.254,0.779,0.797,0.669,0.460,0.026,0.074
5.246,0.989,1.142,0.799,0.597,0.029,0.103
5.201,1.024,1.161,0.603,0.430,0.031,0.176
5.199,0.474,1.166,0.598,0.292,0.187,0.034
5.185,0.959,1.239,0.691,0.394,0.173,0.052
5.161,0.822,1.265,0.645,0.468,0.130,0.134
5.155,0.689,1.172,0.048,0.462,0.201,0.032
5.131,0.530,1.416,0.594,0.540,0.281,0.035
5.129,0.915,1.078,0.758,0.280,0.216,0.000
5.125,0.914,1.517,0.575,0.395,0.253,0.032
5.103,0.715,1.365,0.702,0.618,0.177,0.079
5.093,0.899,1.215,0.522,0.538,0.484,0.018
5.082,0.796,1.335,0.527,0.541,0.364,0.171
4.982,0.000,0.712,0.115,0.674,0.238,0.282
4.975,0.535,0.891,0.182,0.454,0.183,0.043
4.933,1.054,1.515,0.712,0.359,0.064,0.009
4.880,0.425,1.228,0.539,0.526,0.302,0.078
4.806,0.996,1.469,0.657,0.133,0.056,0.052
4.758,1.036,1.164,0.404,0.356,0.032,0.052
4.743,0.642,1.217,0.602,0.266,0.086,0.076
4.724,0.940,1.410,0.330,0.516,0.103,0.056
4.707,1.059,0.771,0.691,0.459,0.282,0.129
4.671,0.541,0.872,0.080,0.467,0.146,0.103
4.657,0.592,0.896,0.337,0.499,0.212,0.029
4.631,0.429,1.117,0.433,0.406,0.138,0.082
4.623,0.720,1.034,0.441,0.626,0.230,0.174
4.592,0.900,0.906,0.690,0.271,0.040,0.063
4.586,0.916,0.817,0.790,0.419,0.149,0.032
4.571,0.256,0.813,0.000,0.355,0.238,0.053
4.559,0.682,0.811,0.343,0.514,0.091,0.077
4.500,0.532,0.850,0.579,0.580,0.153,0.144
4.471,0.918,1.314,0.672,0.585,0.307,0.050
4.456,1.010,0.971,0.536,0.304,0.148,0.095
4.447,0.370,1.233,0.152,0.367,0.139,0.056
4.441,0.874,1.281,0.365,0.519,0.051,0.064
4.433,0.549,1.088,0.457,0.696,0.256,0.065
4.424,0.314,1.097,0.254,0.312,0.175,0.128
4.419,0.885,1.025,0.553,0.312,0.092,0.107
4.417,0.198,0.902,0.173,0.531,0.206,0.158
4.410,0.493,1.048,0.454,0.504,0.352,0.055
4.377,0.562,1.047,0.295,0.503,0.221,0.082
4.356,0.557,1.245,0.292,0.129,0.134,0.093
4.350,0.308,0.950,0.391,0.452,0.220,0.146
4.340,0.853,0.592,0.643,0.375,0.038,0.215
4.321,0.816,0.990,0.666,0.260,0.077,0.028
4.308,0.682,1.174,0.429,0.580,0.598,0.178
4.301,0.358,0.907,0.053,0.189,0.181,0.060
4.245,0.069,1.136,0.204,0.312,0.197,0.052
4.190,0.721,0.747,0.485,0.539,0.172,0.093
4.166,0.131,0.867,0.221,0.390,0.175,0.099
4.161,0.322,1.090,0.237,0.450,0.259,0.061
4.141,0.378,0.372,0.240,0.440,0.163,0.067
4.139,0.605,1.240,0.312,0.016,0.134,0.082
4.103,0.793,1.413,0.609,0.163,0.187,0.011
3.999,0.259,0.474,0.253,0.434,0.158,0.101
3.964,0.344,0.792,0.211,0.394,0.185,0.094
3.808,0.472,1.215,0.079,0.423,0.116,0.112
3.795,0.730,1.125,0.269,0.000,0.079,0.061
3.774,0.262,0.908,0.402,0.221,0.155,0.049
3.692,0.357,1.094,0.248,0.406,0.132,0.099
3.632,0.332,0.537,0.255,0.085,0.191,0.036
3.590,1.017,1.174,0.417,0.557,0.042,0.092
3.587,0.186,0.541,0.306,0.531,0.210,0.080
3.582,0.315,0.714,0.289,0.025,0.392,0.104
3.495,0.076,0.858,0.267,0.419,0.206,0.030
3.462,0.689,0.382,0.539,0.088,0.376,0.144
3.408,0.332,0.896,0.400,0.636,0.200,0.444
3.355,0.442,1.073,0.343,0.244,0.083,0.064
3.303,0.455,0.991,0.381,0.481,0.270,0.097
3.254,0.337,0.608,0.177,0.112,0.224,0.106
3.083,0.024,0.000,0.010,0.305,0.218,0.038
2.905,0.091,0.627,0.145,0.065,0.149,0.076
